fid;DN;a_quilômetros quadrados;p_quilômetros
1097;12;0;0.17
1098;33;0;0.12
1099;21;0;0.17
1100;21;0;0.23
1101;3;0;0.12
1102;15;0;0.12
1103;21;0;0.12
1104;21;0.3;6.96
1105;3;0.01;0.46
1106;21;0.01;0.57
1107;21;0;0.12
1108;21;0;0.12
1109;21;0;0.12
1110;3;1.93;22.72
1111;21;0.02;0.75
1112;21;0.01;0.4
1113;21;0;0.23
1114;33;0;0.29
1115;12;0;0.29
1116;3;0;0.29
1117;21;0;0.12
1118;3;0;0.12
1119;21;0;0.12
1120;12;0;0.12
1121;9;0.01;0.69
1122;21;0;0.23
