Length;Heigth
30682.42892;697.704834
30711.46769;696.4177246
30752.53472;696.6920166
30793.60174;698.8412476
30834.66877;698.8412476
30863.70754;701.0740967
30904.77456;702.5098877
30933.81333;700.2001953
30974.88036;700.2001953
31015.94738;700.2001953
31044.98615;700.2001953
31086.05318;700.2001953
31127.1202;700.2001953
31168.18723;700.2001953
31209.25425;700.2001953
31238.29302;700.2001953
31267.3318;700.2001953
31308.39882;699.2973022
31337.43759;699.2973022
31378.50462;697.1828003
31407.54339;697.1828003
31448.61041;697.1828003
31477.64918;697.1828003
31506.68796;694.3098755
31535.72673;694.3098755
31576.79375;693.9189453
31605.83252;697.5542603
31634.8713;697.5542603
31663.91007;697.5542603
31704.97709;698.9946289
31734.01586;698.9946289
31763.05463;698.9946289
31792.09341;702.8068237
31821.13218;701.0214233
31862.1992;701.0214233
31903.26623;701.0214233
31944.33325;701.0214233
31973.37202;701.0214233
32002.4108;701.5092773
32031.44957;697.4741821
32072.51659;697.4741821
32113.58362;697.9355469
32142.62239;697.4741821
32171.66116;697.6754761
32200.69993;706.0740967
32229.7387;710.5615845
32270.80573;706.9136353
32299.8445;704.1665039
32328.88327;704.1665039
32357.92204;704.1665039
32398.98907;704.1665039
32440.05609;704.1665039
32469.09486;704.1665039
32498.13363;704.1665039
32527.17241;704.1665039
32568.23943;704.1665039
32609.30646;705.4775391
32650.37348;704.1665039
32679.41225;704.1665039
32720.47928;704.1665039
32749.51805;704.1665039
32790.58507;699.7854614
32831.6521;701.637085
32860.69087;703.0439453
32889.72964;709.9067993
32930.79667;709.8360596
32971.86369;709.8360596
33012.93071;706.9483032
33053.99774;706.9483032
33095.06476;706.9483032
33136.13179;707.0395508
33165.17056;703.3381958
33194.20933;703.3381958
33223.2481;703.3381958
33252.28687;703.3381958
33281.32565;703.3381958
33310.36442;703.3381958
33339.40319;703.3381958
33380.47021;703.3381958
33409.50899;703.3381958
33438.54776;702.1071777
33479.61478;702.1071777
33520.68181;701.5200806
33561.74883;701.5200806
33602.81586;703.4943237
33631.85463;702.7941284
33660.8934;702.9465942
33689.93217;703.4458008
33730.9992;703.5544434
33760.03797;701.5200806
33801.10499;701.5200806
33842.17202;702.3343506
33871.21079;700.2598267
33912.27781;700.2598267
33941.31658;702.3648682
33970.35536;704.1071167
33999.39413;704.1071167
34040.46115;703.1764526
